epoch,train_loss,val_loss,train_acc,val_acc,avg_alpha,avg_beta
1,2.250786,1.974002,0.097561,0.4,0.012877,0.987123
2,2.111589,1.912018,0.256098,0.2,0.019133,0.980867
3,1.941586,1.792142,0.243902,0.2,0.028405,0.971595
4,1.625159,1.403353,0.365854,0.3,0.046026,0.953974
5,1.376485,1.463294,0.304878,0.3,0.331925,0.668075
6,1.257413,1.135255,0.414634,0.4,0.304961,0.695039
7,1.109222,1.059557,0.463415,0.4,0.123941,0.876059
8,1.012457,1.047197,0.47561,0.4,0.198282,0.801718
9,0.97737,1.025441,0.487805,0.4,0.204482,0.795518
10,0.964358,1.028518,0.487805,0.4,0.208406,0.791594
